food_weight_g,sleep_hours,is_outlier
67.45,14.87,0
59.93,16.38,0
60.29,15.9,0
67.32,11.03,0
50.52,8.89,0
50.93,15.87,0
57.82,11.27,0
62.87,13.55,0
68.11,11.66,0
79.75,10.4,0
73.58,15.08,0
63.4,15.52,0
64.81,12.85,0
54.97,8.82,0
64.81,12.91,0
62.11,14.78,0
68.23,11.04,0
56.73,14.37,0
70.19,13.97,0
80.33,15.16,0
63.91,14.24,0
69.02,12.05,0
71.9,16.39,0
60.99,13.68,0
67.24,13.95,0
65.13,12.13,0
65.98,13.11,0
57.27,12.23,0
65.25,13.65,0
69.98,17.42,0
79.51,11.26,0
74.59,10.77,0
86.53,16.94,0
57.33,13.58,0
73.72,12.66,0
66.83,16.08,0
86.9,12.79,0
56.92,17.65,0
56.6,15.36,0
59.01,13.02,0
43.76,18.31,0
59.74,12.79,0
57.41,15.48,0
66.5,14.6,0
68.42,16.6,0
83.76,17.12,0
74.5,14.06,0
59.23,12.49,0
56.02,14.92,0
69.92,12.64,0
51.8,18.03,0
83.31,14.27,0
76.79,13.27,0
60.31,14.37,0
47.87,11.31,0
78.54,12.06,0
63.85,16.4,0
77.38,12.69,0
49.06,11.91,0
59.01,15.07,0
65.05,16.37,0
65.47,15.44,0
60.5,15.99,0
71.23,12.49,0
54.32,11.16,0
63.58,17.0,0
66.2,13.35,0
70.14,13.5,0
72.12,16.66,0
53.75,15.11,0
49.66,14.91,0
77.78,18.33,0
68.32,12.71,0
57.52,15.86,0
80.51,14.11,0
66.16,14.54,0
76.79,17.06,0
65.68,15.02,0
85.61,15.08,0
82.55,16.15,0
62.51,13.27,0
74.72,12.32,0
71.45,11.91,0
78.69,10.07,0
55.35,18.11,0
71.86,11.79,0
75.58,13.56,0
47.41,13.45,0
53.17,14.61,0
44.61,15.63,0
62.31,15.72,0
72.18,12.83,0
80.02,13.67,0
65.74,14.57,0
81.29,13.5,0
51.2,17.21,0
47.97,14.98,0
64.44,15.47,0
68.84,15.33,0
64.67,16.35,0
44.33,14.36,0
64.11,11.41,0
51.96,14.8,0
71.7,12.7,0
68.67,12.94,0
55.6,15.17,0
59.86,16.48,0
54.41,14.04,0
64.37,14.62,0
74.55,17.4,0
55.14,14.48,0
70.04,19.2,0
59.7,15.13,0
57.07,10.48,0
63.93,15.51,0
54.65,14.76,0
59.46,16.58,0
53.02,15.35,0
84.65,13.72,0
65.35,11.55,0
58.0,13.58,0
67.14,12.3,0
63.88,12.84,0
62.79,15.18,0
71.14,17.34,0
72.58,14.79,0
59.69,11.61,0
59.24,14.89,0
62.25,16.39,0
41.98,12.78,0
49.85,13.73,0
78.67,14.03,0
81.45,12.43,0
62.51,15.3,0
70.77,13.76,0
68.11,14.84,0
95.79,12.23,0
76.2,13.13,0
63.72,15.44,0
55.44,13.25,0
48.94,17.45,0
67.03,13.2,0
57.44,14.45,0
50.78,15.87,0
58.53,11.16,0
54.18,10.48,0
81.87,10.95,0
73.82,16.53,0
64.92,12.9,0
79.8,19.12,0
65.77,12.87,0
56.39,14.37,0
80.23,17.08,0
70.39,18.01,0
54.63,18.12,0
63.1,16.42,0
56.24,16.05,0
51.17,15.19,0
74.26,15.56,0
84.09,12.9,0
51.01,12.36,0
70.63,13.99,0
58.49,13.66,0
60.13,13.09,0
59.08,15.39,0
56.36,15.91,0
65.49,14.18,0
56.69,16.96,0
67.7,11.72,0
64.5,13.61,0
62.61,12.57,0
55.92,10.27,0
59.23,13.83,0
72.55,13.76,0
70.01,17.03,0
55.22,15.26,0
65.99,11.95,0
72.51,17.71,0
48.31,16.44,0
70.43,15.16,0
58.37,13.55,0
70.71,12.08,0
57.37,13.26,0
46.95,16.18,0
48.72,17.77,0
65.48,17.09,0
67.6,13.02,0
55.96,11.76,0
71.39,14.28,0
48.38,10.46,0
64.34,14.65,0
52.89,13.7,0
58.48,13.07,0
65.47,10.81,0
56.4,15.03,0
61.15,12.93,0
75.06,11.66,0
59.23,8.26,0
73.36,13.94,0
53.7,17.54,0
70.3,17.32,0
79.42,13.09,0
40.28,12.8,0
57.03,14.94,0
70.77,12.0,0
62.97,14.6,0
68.71,15.53,0
58.96,16.45,0
65.87,13.8,0
63.44,13.59,0
76.68,12.24,0
67.54,12.35,0
68.38,13.55,0
60.88,14.73,0
60.12,15.83,0
60.67,12.39,0
68.94,16.99,0
60.79,13.46,0
67.9,13.96,0
85.75,12.51,0
73.71,9.15,0
61.74,15.77,0
77.01,15.47,0
60.92,13.44,0
44.62,14.13,0
54.92,15.03,0
46.29,10.87,0
61.48,12.94,0
65.18,15.59,0
81.76,11.49,0
68.27,14.59,0
62.81,11.29,0
73.29,14.93,0
42.89,13.93,0
67.36,10.77,0
72.71,16.33,0
50.21,12.53,0
76.44,12.38,0
68.38,14.4,0
60.85,16.3,0
71.33,11.97,0
87.71,14.12,0
66.82,14.86,0
67.48,15.39,0
60.41,14.35,0
56.5,13.27,0
73.3,12.34,0
56.44,14.17,0
65.72,11.86,0
60.22,8.16,0
69.79,14.87,0
68.34,15.81,0
75.38,9.27,0
59.9,11.98,0
62.3,15.24,0
55.21,18.11,0
60.56,14.04,0
68.77,12.54,0
72.57,13.63,0
55.78,16.75,0
73.7,12.71,0
78.56,12.4,0
69.13,13.03,0
83.77,12.09,0
57.26,14.25,0
52.55,17.25,0
47.21,14.65,0
79.96,13.5,0
71.54,13.42,0
64.44,10.87,0
67.8,15.77,0
53.75,13.84,0
89.46,13.64,0
66.29,20.39,0
66.09,14.6,0
72.26,12.5,0
69.81,13.15,0
67.24,16.3,0
57.1,14.23,0
69.71,11.12,0
83.82,15.84,0
78.45,12.66,0
80.93,17.75,0
59.89,16.16,0
55.1,13.11,0
63.74,16.56,0
65.56,14.14,0
75.94,15.71,0
48.08,14.97,0
80.3,12.31,0
63.42,12.71,0
60.73,16.06,0
54.88,13.33,0
48.45,13.19,0
73.23,12.09,0
65.73,14.85,0
52.1,18.13,0
52.05,11.86,0
61.64,14.05,0
81.69,16.82,0
62.4,13.84,0
49.97,14.9,0
62.54,11.88,0
62.27,14.86,0
38.03,13.63,0
64.46,15.97,0
62.69,16.37,0
71.96,19.18,0
83.49,15.16,0
76.27,14.65,0
62.31,14.39,0
53.93,13.29,0
90.73,14.68,0
65.59,13.41,0
65.14,14.34,0
64.76,16.64,0
66.98,11.99,0
63.56,16.28,0
59.26,16.63,0
59.53,13.76,0
64.67,9.76,0
59.57,12.78,0
57.87,16.59,0
66.06,13.95,0
62.45,12.0,0
80.04,12.99,0
38.49,15.68,0
75.92,15.09,0
77.46,13.52,0
44.27,13.27,0
61.57,13.22,0
61.29,12.16,0
50.92,17.23,0
57.22,13.36,0
53.89,16.43,0
82.52,17.04,0
74.36,16.0,0
77.72,13.14,0
72.22,14.81,0
53.71,13.95,0
59.75,12.19,0
69.89,14.65,0
52.78,11.64,0
72.13,16.38,0
62.6,13.07,0
61.25,14.4,0
72.11,14.57,0
69.44,13.48,0
61.39,15.17,0
76.59,13.05,0
54.19,15.74,0
71.16,11.31,0
70.93,14.25,0
61.9,17.88,0
68.26,12.0,0
52.49,12.64,0
74.24,15.03,0
63.15,14.36,0
59.77,14.7,0
75.49,14.98,0
57.96,15.27,0
50.92,16.22,0
49.43,14.82,0
71.06,13.52,0
52.2,15.35,0
82.55,17.8,0
44.18,13.73,0
81.96,12.05,0
67.11,16.21,0
64.03,13.76,0
59.55,9.65,0
68.99,15.69,0
64.62,12.93,0
76.03,13.82,0
66.14,14.66,0
66.5,14.38,0
61.36,15.42,0
64.43,13.13,0
68.08,15.03,0
47.9,13.48,0
51.52,15.48,0
72.43,15.23,0
66.71,12.13,0
63.16,16.17,0
65.18,12.93,0
68.48,15.62,0
59.6,14.73,0
57.22,17.68,0
66.96,13.55,0
55.22,13.3,0
69.08,13.96,0
47.97,13.39,0
75.29,15.6,0
69.73,10.77,0
67.56,11.89,0
74.83,11.86,0
81.65,15.9,0
75.14,17.42,0
46.59,13.79,0
52.2,13.66,0
58.75,14.14,0
65.26,16.32,0
70.18,12.15,0
57.74,14.48,0
66.87,15.95,0
57.45,15.0,0
58.88,14.38,0
50.93,16.0,0
55.77,8.59,0
51.48,15.36,0
55.24,12.69,0
75.54,10.34,0
55.51,15.02,0
91.32,16.75,0
69.93,13.73,0
66.85,15.91,0
56.42,17.22,0
72.0,16.63,0
59.24,17.28,0
66.22,15.48,0
90.6,14.15,0
64.04,10.8,0
76.49,13.51,0
57.97,12.31,0
64.65,18.34,0
82.71,13.65,0
58.73,14.25,0
83.12,15.1,0
72.08,14.09,0
59.38,17.39,0
71.32,12.75,0
74.73,14.39,0
71.22,12.52,0
49.3,11.36,0
57.73,12.78,0
62.52,13.93,0
64.26,13.14,0
71.21,12.62,0
66.78,11.19,0
51.65,13.83,0
68.8,10.99,0
71.11,15.52,0
70.6,14.16,0
75.81,11.08,0
73.34,13.38,0
69.59,12.5,0
64.3,14.64,0
48.39,16.68,0
69.3,10.25,0
67.08,14.23,0
67.72,13.68,0
52.23,15.34,0
54.19,14.43,0
75.53,12.5,0
64.6,13.36,0
71.82,12.41,0
65.28,16.15,0
65.3,14.04,0
74.38,17.8,0
59.84,13.88,0
65.96,12.58,0
60.38,10.97,0
60.66,10.39,0
61.91,10.83,0
67.22,14.53,0
60.21,15.02,0
77.56,10.84,0
56.05,15.79,0
63.13,13.03,0
60.6,14.29,0
79.47,17.22,0
66.97,15.79,0
75.32,13.46,0
50.14,12.22,0
67.67,9.7,0
73.9,12.56,0
65.82,13.58,0
75.65,12.03,0
59.83,13.74,0
79.09,14.15,0
87.99,13.55,0
61.37,12.7,0
60.54,14.34,0
79.53,14.88,0
80.8,11.82,0
59.77,16.82,0
60.8,13.8,0
62.18,14.04,0
51.56,15.42,0
55.81,14.47,0
54.96,15.91,0
57.32,14.57,0
64.65,12.78,0
67.34,14.72,0
80.51,11.71,0
55.02,14.22,0
74.84,13.93,0
62.86,13.58,0
64.51,13.74,0
71.75,10.24,0
53.77,12.9,0
68.82,14.19,0
66.66,14.32,0
69.92,11.94,0
67.89,16.53,0
89.55,12.27,0
58.62,15.94,0
59.69,14.85,0
58.77,12.71,0
59.45,17.55,0
58.63,11.61,0
76.89,15.84,0
79.21,16.0,0
59.29,12.66,0
56.68,16.78,0
69.71,13.5,0
59.48,14.58,0
71.33,14.52,0
67.03,13.73,0
49.84,15.62,0
80.48,15.59,0
82.96,10.5,0
58.87,16.61,0
61.12,10.68,0
67.86,16.07,0
68.34,16.25,0
71.59,11.82,0
85.1,13.18,0
63.23,11.79,0
57.02,13.57,0
51.21,13.38,0
57.69,15.56,0
64.67,16.62,0
82.95,16.79,0
59.82,12.88,0
67.24,13.58,0
64.84,10.63,0
76.88,12.39,0
90.27,15.93,0
59.69,17.23,0
60.11,11.53,0
75.44,12.82,0
71.82,13.95,0
83.47,14.56,0
70.84,12.38,0
61.41,14.85,0
70.91,13.05,0
76.09,13.97,0
73.2,15.09,0
70.07,14.01,0
75.67,13.13,0
76.69,13.78,0
78.82,13.82,0
71.49,13.26,0
63.33,13.48,0
66.47,17.2,0
77.07,15.12,0
56.83,13.41,0
68.69,15.39,0
61.07,13.33,0
65.29,16.35,0
77.78,14.74,0
66.91,13.79,0
65.46,14.9,0
51.4,10.86,0
72.46,11.75,0
71.45,11.61,0
86.63,14.29,0
61.92,17.47,0
67.19,18.46,0
67.49,15.28,0
80.77,15.0,0
64.05,10.4,0
67.79,12.91,0
71.08,12.42,0
66.87,12.76,0
60.54,13.66,0
66.94,13.06,0
75.74,10.04,0
54.73,15.5,0
66.33,11.85,0
58.0,14.48,0
76.95,18.15,0
49.77,12.16,0
59.41,8.94,0
68.77,13.43,0
80.66,16.2,0
64.34,17.92,0
59.45,11.54,0
83.81,14.99,0
50.52,13.07,0
43.01,13.79,0
69.4,19.29,0
59.98,10.99,0
54.79,14.51,0
72.08,14.94,0
67.44,16.17,0
59.36,14.2,0
52.2,14.62,0
73.72,13.22,0
71.5,14.54,0
64.01,13.31,0
83.47,15.24,0
54.3,13.26,0
49.74,14.75,0
58.08,13.94,0
64.54,16.25,0
67.43,13.9,0
62.59,10.45,0
68.52,16.52,0
52.48,12.19,0
79.44,12.69,0
64.18,12.81,0
76.17,16.75,0
68.43,9.73,0
69.57,20.28,0
70.7,16.11,0
69.48,14.45,0
71.43,13.89,0
78.29,14.57,0
66.97,15.04,0
72.09,15.29,0
64.1,15.11,0
79.4,14.18,0
58.24,13.61,0
83.01,13.7,0
64.6,13.61,0
50.69,16.27,0
66.28,15.19,0
58.19,8.12,0
73.41,15.31,0
58.47,14.39,0
60.54,13.96,0
46.1,13.22,0
60.48,16.25,0
40.76,15.9,0
49.16,12.45,0
72.6,14.81,0
72.86,12.06,0
69.25,11.24,0
55.33,12.75,0
64.52,15.72,0
64.96,15.91,0
53.42,15.03,0
80.03,15.45,0
73.77,15.03,0
62.79,12.72,0
65.27,14.86,0
67.08,15.6,0
44.58,15.51,0
62.53,16.38,0
58.18,15.42,0
54.98,14.7,0
62.19,16.14,0
82.98,13.95,0
71.41,12.24,0
59.29,13.67,0
70.73,12.51,0
